Dataset,CxG link,Reference,Bionetworks reference,Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value Type(s),Notes
Retina,https://cellxgene.cziscience.com/e/d5c67a4e-a8d9-456d-a273-fa01adb1b308.cxg/,https://doi.org/10.15252/embj.2018100811,retina,T,author_cell_type,cell types,full names,
Retina,https://cellxgene.cziscience.com/e/d5c67a4e-a8d9-456d-a273-fa01adb1b308.cxg/,https://doi.org/10.1038/s41467-019-12780-8,retina,T,CellType,cell types,"full names, abbreviations",
Bipolar cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/8623d55f-d91c-41c2-ae68-ed2072fd268d.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,author_cell_type,cell types,abbreviations,
Bipolar cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/8623d55f-d91c-41c2-ae68-ed2072fd268d.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,suspension_enriched_cell_types,cell types,full names,"Only 2: na, retinal ganglion cell"
Non-neuronal cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/bc7260e0-54cf-4b0b-823d-93f5b850f757.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,author_cell_type,cell types,full names,
Non-neuronal cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/bc7260e0-54cf-4b0b-823d-93f5b850f757.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,suspension_enriched_cell_types,cell types,full names,"Only 2: na, retinal ganglion cell"
Amacrine cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/5cdbb2ea-c622-466d-9ead-7884ad8cb99f.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,author_cell_type,cell types,abbreviations,"e.g., Gaba1, Gaba2, Gly1, Gly2"
Amacrine cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/5cdbb2ea-c622-466d-9ead-7884ad8cb99f.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,suspension_enriched_cell_types,cell types,full names,"Only 2: na, retinal ganglion cell"
Retinal ganglion cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/d319af7f-be2e-441e-8caa-3b8a88480e89.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,F,author_cell_type,cell types,abbreviations,
Retinal ganglion cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/d319af7f-be2e-441e-8caa-3b8a88480e89.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,F,suspension_enriched_cell_types,cell types,full names,"Only 2: na, retinal ganglion cell"
Photoreceptor cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/7b75b2c4-6d99-40be-9a61-391455d859e6.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,author_cell_type,cell types,full names,
Photoreceptor cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/7b75b2c4-6d99-40be-9a61-391455d859e6.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,T,suspension_enriched_cell_types,cell types,full names,"Only 2: na, retinal ganglion cell"
Horizontal cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/2f6a20f1-173d-4b8d-860b-c47ffea120fa.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,F,author_cell_type,cell types,abbreviations,"Only 2: H1, H2"
Horizontal cells of the human fovea and peripheral retina,https://cellxgene.cziscience.com/e/2f6a20f1-173d-4b8d-860b-c47ffea120fa.cxg/,https://doi.org/10.1038/s41598-020-66092-9,retina,F,suspension_enriched_cell_types,cell types,full names,"Only 2: na, retinal ganglion cell"
All cell types of human eye,https://cellxgene.cziscience.com/e/e6dad530-418b-47f9-af6e-472e56a7b314.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,T,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0, etc."
Rod cells of human eye,https://cellxgene.cziscience.com/e/389bfbb9-8ef1-4582-8c41-410131c3d0eb.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,F,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0"
Bipolar cells of human eye,https://cellxgene.cziscience.com/e/4e38f019-f8e8-44ae-ad32-ba500de6f64c.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,T,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0, etc."
Non-neuronal cells of human eye,https://cellxgene.cziscience.com/e/ab5b2256-b209-48b5-a801-c5d9a8c0de56.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,T,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0, etc."
Amacrine cells of human eye,https://cellxgene.cziscience.com/e/f8c77961-67a7-4161-b8c2-61c3f917b54f.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,F,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0, etc."
Horizontal cells of human eye,https://cellxgene.cziscience.com/e/c3d381b2-3104-444e-8ad5-d3524407bbb6.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,T,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0"
Retinal ganglion cells of human eye,https://cellxgene.cziscience.com/e/cec9f9a5-8832-437d-99af-fb8237cde54b.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,T,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0, etc."
Retinal pigment epithelial cells of human eye,https://cellxgene.cziscience.com/e/9cfee1e6-b24f-433d-a269-f01841655d6a.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,F,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0"
Cone cells of human eye,https://cellxgene.cziscience.com/e/d95ab381-2b7c-4885-b168-0097ed4e397f.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,T,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0, etc."
Myeloid cells of human eye,https://cellxgene.cziscience.com/e/de17ac25-550a-4018-be75-bbb485a0636e.cxg/,https://doi.org/10.1016/j.celrep.2019.12.082,retina,F,author_cell_type (*see Notes),,,"*author_cell_type contains only floats: 1.0, 2.0, 3.0"
